[2026-03-16 05:41:17 UTC] Endurance test started — PID 82923
[2026-03-16 07:08:54 UTC] ⚠️ 429 at request #4672 (B0B7CPSN2K)
[2026-03-16 07:08:55 UTC] ⚠️ 429 at request #4673 (B09HN37XDT)
[2026-03-16 07:08:56 UTC] ⚠️ 429 at request #4674 (B0BG9433MV)
[2026-03-16 07:08:58 UTC] ⚠️ 429 at request #4675 (B0BG94CL5Y)
[2026-03-16 07:08:59 UTC] ⚠️ 429 at request #4676 (B0C75FL2PK)
[2026-03-16 07:09:00 UTC] ⚠️ 429 at request #4677 (B0CH54XPNW)
[2026-03-16 07:09:01 UTC] ⚠️ 429 at request #4678 (B0C4HSLJR3)
[2026-03-16 07:09:02 UTC] ⚠️ 429 at request #4679 (B0CX5C6SL7)
[2026-03-16 07:09:03 UTC] ⚠️ 429 at request #4680 (B0CR1JKLDL)
[2026-03-16 07:09:04 UTC] ⚠️ 429 at request #4681 (B0D1XD1ZV3)
[2026-03-16 07:09:05 UTC] ⚠️ 429 at request #4682 (B09V3KXJPB)
[2026-03-16 07:09:06 UTC] ⚠️ 429 at request #4683 (B0BSHF7WHW)
[2026-03-16 07:09:07 UTC] ⚠️ 429 at request #4684 (B07FZ8S74R)
[2026-03-16 07:09:08 UTC] ⚠️ 429 at request #4685 (B09JQL3NWT)
[2026-03-16 07:09:09 UTC] ⚠️ 429 at request #4686 (B0CX23V2ZK)
[2026-03-16 07:09:10 UTC] ⚠️ 429 at request #4687 (B08N5WRWNW)
[2026-03-16 07:09:11 UTC] ⚠️ 429 at request #4688 (B0CHX1W1XY)
[2026-03-16 07:09:12 UTC] ⚠️ 429 at request #4689 (B09B8DQ26F)
[2026-03-16 07:09:13 UTC] ⚠️ 429 at request #4690 (B0CL5KNB9M)
[2026-03-16 07:09:14 UTC] ⚠️ 429 at request #4691 (B0C1H26C46)
[2026-03-16 07:09:15 UTC] ⚠️ 429 at request #4692 (B0BDHWDR12)
[2026-03-16 07:09:16 UTC] ⚠️ 429 at request #4693 (B09JQMJHXY)
[2026-03-16 07:09:17 UTC] ⚠️ 429 at request #4694 (B07ZPKN6YR)
[2026-03-16 07:09:18 UTC] ⚠️ 429 at request #4695 (B08BHXG144)
[2026-03-16 07:09:20 UTC] ⚠️ 429 at request #4696 (B0CHWRXH8B)
[2026-03-16 07:09:21 UTC] ⚠️ 429 at request #4697 (B0931VRJT5)
[2026-03-16 07:09:22 UTC] ⚠️ 429 at request #4698 (B0BDJ279KF)
[2026-03-16 07:09:23 UTC] ⚠️ 429 at request #4699 (B0BTJ6KBVB)
[2026-03-16 07:09:24 UTC] ⚠️ 429 at request #4700 (B0CFWQSDWQ)
[2026-03-16 07:09:25 UTC] ⚠️ 429 at request #4701 (B0BN72Y6WP)
